"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CKLF",133.37310329803,-0.0433611986055452,0.160532044482897,-0.270109302757711,0.787076165465551,0.862357580178401
"CKLF-CMTM1",0,NA,NA,NA,NA,NA
"CKM",11.645949200491,0.295703076546769,0.517019437807986,0.571938025774167,0.567363961355448,0.6954742840118
"CKMT1A",70.6344204363615,0.566179908733283,0.217478586418385,2.60338232861266,0.00923089492581865,0.026333682957256
"CKMT1B",92.394154730769,0.658534577371805,0.189409899284226,3.47676958733618,0.000507493743398676,0.00212072404666599
"CKMT2",12.6330652323109,-0.0929392125880613,0.51776949739246,-0.179499203904658,0.857545742370597,0.910202059884581
"CKS1B",557.34046086503,0.315600853975684,0.0865009148457414,3.64852619811595,0.000263749011078164,0.0011904780591218
"CKS2",1391.92172085059,0.351493400761457,0.0723795298842838,4.85625426585947,1.19627073694021e-06,9.49979702864286e-06
"CLASP1",2325.8696920558,0.0426419090618602,0.0608842123267217,0.700377116370198,0.483691823394549,0.623115610027599
"CLASP2",3310.67952547734,-0.050552016232116,0.0545015058869201,-0.927534302208117,0.353649190432694,0.496891409402896
"CLASRP",1527.24008177068,0.144766749301315,0.0730965978811329,1.98048546030459,0.0476490055231359,0.104098770258182
"CLC",0.317580835960229,0.920678440258504,2.98709232759639,0.308218943135026,0.757915739130626,NA
"CLCA1",0.111368293034921,-1.00287057155282,4.08045587191822,-0.245774149514665,0.80585706906775,NA
"CLCA2",1.99061725568594,-1.55540714011594,1.34359124935662,-1.15764905499404,0.247007281831443,NA
"CLCA3P",1.41140815020397,1.15158771691032,1.64643399741422,0.699443596718078,0.484274850331944,NA
"CLCA4",0.408393248782928,-2.49491066239111,2.62636935379272,-0.949946609294775,0.342139382089352,NA
